"Part";"Value";"Device";"Package";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_NEWARK";"PROD_ID";"SF_ID";"SPICEPREFIX";"VALUE";"VENDOR";
"C1";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"CL21B106KPQNFNE";"82AC9443";"";"";"C";"";"";
"C2";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"CL21B106KPQNFNE";"82AC9443";"";"";"C";"";"";
"C3";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"UMK212B7105KG-T";"47T1712";"";"";"C";"";"";
"C4";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"MC0805B104K500CT";"06R3742";"";"";"C";"";"";
"C5";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"UMK212B7105KG-T";"47T1712";"";"";"C";"";"";
"C6";"22pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"MC0805N220J500CT";"06R4053";"";"";"C";"";"";
"C7";"22pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"MC0805N220J500CT";"06R4053";"";"";"C";"";"";
"C8";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"CL21B106KPQNFNE";"82AC9443";"";"";"C";"";"";
"C9";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"MC0805B104K500CT";"06R3742";"";"";"C";"";"";
"C10";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"MC0805B104K500CT";"06R3742";"";"";"C";"";"";
"C11";"18pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"MC0805N180J500CT";"06R4039";"";"";"C";"";"";
"C12";"18pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"MC0805N180J500CT";"06R4039";"";"";"C";"";"";
"J1";"USB_A_SMT_FEMALE";"USB_A_SMT_FEMALE";"USB-A-S-SILK-FEMALE";"USB-A Connector";"";"";"UE27-AC54-10H";"01M3183";"CONN-09520";"PRT-09011";"";"";"";
"J2";"USB_A_SMT_FEMALE";"USB_A_SMT_FEMALE";"USB-A-S-SILK-FEMALE";"USB-A Connector";"";"";"UE27-AC54-10H";"01M3183";"CONN-09520";"PRT-09011";"";"";"";
"J3";"AVR_SPI_PROG_3X2NS";"AVR_SPI_PROG_3X2NS";"2X3-NS";"AVR ISP 6 Pin";"";"";"";"unknown";"";"";"";"";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW080510K0FKTA";"05F1511";"";"";"R";"";"";
"R2";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW080510K0FKTA";"05F1511";"";"";"R";"";"";
"R3";"22R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW080510K0FKTA";"05F1511";"";"";"R";"";"";
"R4";"22R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW080510K0FKTA";"05F1511";"";"";"R";"";"";
"R5";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW080510K0FKTA";"05F1511";"";"";"R";"";"";
"U$1";"32U4";"ATMEGA32U4TQFP-44";"TQFP44";"Atmel MCU, 32KByte";"";"";"ATMEGA32U4-AU";"68T2838";"IC-11161";"";"";"32U4";"";
"U1";"PIC24FJ64GB002-I/SOSOIC28-W_MC-M";"PIC24FJ64GB002-I/SOSOIC28-W_MC-M";"SOIC28-W_MC-M";"";"PIC24FJ64GB002ISO";"";"PIC24FJ64GB002-I/SO";"07P9738";"";"";"";"";"Microchip";
"U2";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"V_REG MIC5219";"";"";"MIC5219-3.3YM5-TR";"77Y7677";"VREG-09872";"";"";"MIC5219 3.3V";"";
"Y1";"8MHz";"CRYSTAL-8MHZSMD-5X3.2";"CRYSTAL-SMD-5X3.2-4PAD";"8MHz Crystal";"";"";"7B-8.000MAAJ-T";"24T5586";"XTAL-09431";"";"";"8MHz";"";
"Y2";"16MHz";"CRYSTAL-16MHZSMD-5X3.2";"CRYSTAL-SMD-5X3.2-4PAD";"16MHz Crystal";"";"";"ABM3B-16.000MHZ-10-1-U-T";"13J2560";"XTAL-08218";"COM-00094";"";"16MHz";"";
